"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 05- 20","4,353.90","4,323.62","4,353.90","4,312.50","113.02M","1.67%"
"2016- 05- 19","4,282.54","4,292.25","4,314.23","4,274.57","104.57M","-0.85%"
"2016- 05- 18","4,319.30","4,275.39","4,322.23","4,267.71","89.94M","0.51%"
"2016- 05- 17","4,297.57","4,325.11","4,362.33","4,273.86","104.56M","-0.34%"
"2016- 05- 16","4,312.28","4,290.65","4,316.28","4,269.63","50.34M","-0.18%"
"2016- 05- 13","4,319.99","4,264.77","4,335.15","4,253.13","102.68M","0.62%"
"2016- 05- 12","4,293.27","4,295.74","4,361.88","4,266.96","106.50M","-0.54%"
"2016- 05- 11","4,316.67","4,335.14","4,340.58","4,289.38","96.17M","-0.50%"
"2016- 05- 10","4,338.21","4,338.05","4,374.75","4,320.29","107.38M","0.36%"
"2016- 05- 09","4,322.81","4,322.69","4,363.56","4,302.96","115.69M","0.50%"
"2016- 05- 06","4,301.24","4,290.41","4,311.49","4,245.17","114.91M","-0.42%"
"2016- 05- 05","4,319.46","4,321.36","4,346.20","4,303.25","79.77M","-0.11%"
"2016- 05- 04","4,324.23","4,365.20","4,387.75","4,317.28","120.57M","-1.09%"
"2016- 05- 03","4,371.98","4,435.00","4,437.65","4,364.01","111.10M","-1.59%"
"2016- 05- 02","4,442.75","4,455.76","4,458.74","4,429.47","65.20M","0.31%"
"2016- 04- 29","4,428.96","4,500.43","4,508.83","4,428.59","132.18M","-2.82%"
"2016- 04- 28","4,557.36","4,520.25","4,557.36","4,482.37","114.81M","-0.04%"
"2016- 04- 27","4,559.40","4,534.99","4,564.70","4,525.79","109.79M","0.58%"
"2016- 04- 26","4,533.18","4,557.00","4,579.12","4,515.40","103.54M","-0.28%"
