"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 03- 26","201.94","201.67","202.39","201.27","","0.19%"
"2025- 03- 25","201.55","202.31","202.65","201.59","","-0.33%"
"2025- 03- 24","202.21","202.24","202.76","201.66","","0.18%"
"2025- 03- 21","201.84","202.40","202.76","201.54","","-0.18%"
"2025- 03- 20","202.20","201.53","203.07","201.27","","0.10%"
"2025- 03- 19","201.99","200.54","202.46","200.38","","0.79%"
"2025- 03- 18","200.41","199.57","201.51","199.19","","0.48%"
"2025- 03- 17","199.45","200.53","200.71","199.39","","-0.46%"
"2025- 03- 14","200.37","200.78","201.50","200.42","","-0.11%"
"2025- 03- 13","200.59","200.50","201.17","200.11","","0.06%"
"2025- 03- 12","200.46","200.84","201.41","200.13","","-0.12%"
"2025- 03- 11","200.71","201.07","201.46","200.52","","-0.13%"
"2025- 03- 10","200.97","200.28","201.21","199.58","","0.35%"
"2025- 03- 07","200.26","199.65","200.44","199.33","","0.30%"
"2025- 03- 06","199.67","199.12","200.54","198.49","","0.22%"
"2025- 03- 05","199.24","200.18","201.12","199.10","","-0.36%"
"2025- 03- 04","199.96","200.26","201.05","199.80","","-0.07%"
"2025- 03- 03","200.11","200.70","200.77","199.75","","-0.24%"
"2025- 02- 28","200.59","199.16","200.98","199.10","","0.77%"
"2025- 02- 27","199.05","197.51","199.24","197.46","","0.84%"
"2025- 02- 26","197.39","197.48","197.99","197.05","","-0.09%"
"2025- 02- 25","197.57","197.25","197.79","196.81","","0.25%"
"2025- 02- 24","197.08","198.08","198.24","196.72","","-0.26%"
"2025- 02- 21","197.59","197.45","198.46","197.26","","0.22%"
"2025- 02- 20","197.15","197.85","198.41","197.31","","-0.20%"
"2025- 02- 19","197.55","198.04","198.47","197.32","","-0.17%"
"2025- 02- 18","197.88","198.55","199.24","197.53","","-0.26%"
"2025- 02- 17","198.39","198.64","199.23","198.38","","-0.01%"
"2025- 02- 14","198.41","197.68","198.88","197.50","","0.51%"
"2025- 02- 13","197.41","198.63","199.34","197.55","","-0.54%"
"2025- 02- 12","198.48","198.82","199.68","198.30","","-0.03%"
"2025- 02- 11","198.53","198.71","199.31","198.36","","-0.01%"
"2025- 02- 10","198.55","199.68","199.80","198.33","","-0.43%"
"2025- 02- 07","199.40","198.44","199.98","197.92","","0.56%"
"2025- 02- 06","198.28","198.73","199.20","198.23","","-0.11%"
